CIE9;LITERAL9
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7368;DEFORMIDADES ADQUIRIDAS DE OTRAS PARTES DE LOS MIEMBROS
7369;DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS SIN ESPECIFICACION
7369;DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS SIN ESPECIFICACION
7369;DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS SIN ESPECIFICACION
7369;DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS SIN ESPECIFICACION
7369;DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS SIN ESPECIFICACION
7369;DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS SIN ESPECIFICACION
7370;CIFOSIS POSTURAL DEL ADOLESCENTE
7371;CIFOSIS (ADQUIRIDA)
7371;CIFOSIS (ADQUIRIDA)
7371;CIFOSIS (ADQUIRIDA)
7371;CIFOSIS (ADQUIRIDA)
7371;CIFOSIS (ADQUIRIDA)
7372;LORDOSIS (ADQUIRIDA) (POSTURAL)
7372;LORDOSIS (ADQUIRIDA) (POSTURAL)
7372;LORDOSIS (ADQUIRIDA) (POSTURAL)
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7373;ESCOLIOSIS Y CIFOSCOLIOSIS
7374;DESVIACION DE LA COLUMNA ASOCIADA CON OTRAS AFECCIONES
7374;DESVIACION DE LA COLUMNA ASOCIADA CON OTRAS AFECCIONES
7374;DESVIACION DE LA COLUMNA ASOCIADA CON OTRAS AFECCIONES
7374;DESVIACION DE LA COLUMNA ASOCIADA CON OTRAS AFECCIONES
7378;OTRAS DESVIACIONES DE COLUMNA VERTEBRAL
7378;OTRAS DESVIACIONES DE COLUMNA VERTEBRAL
7378;OTRAS DESVIACIONES DE COLUMNA VERTEBRAL
7379;DESVIACIONES DE COLUMNA VERTEBRAL SIN ESPECIFICACION
7379;DESVIACIONES DE COLUMNA VERTEBRAL SIN ESPECIFICACION
7379;DESVIACIONES DE COLUMNA VERTEBRAL SIN ESPECIFICACION
7380;DEFORMIDAD ADQUIRIDA DE LA NARIZ
7380;DEFORMIDAD ADQUIRIDA DE LA NARIZ
7380;DEFORMIDAD ADQUIRIDA DE LA NARIZ
7381;OTRA DEFORMIDAD ADQUIRIDA DE LA CABEZA
7382;DEFORMIDAD ADQUIRIDA DEL CUELLO
7383;DEFORMIDAD ADQUIRIDA DEL TORAX
7383;DEFORMIDAD ADQUIRIDA DEL TORAX
7383;DEFORMIDAD ADQUIRIDA DEL TORAX
7384;ESPONDILOLISTESIS ADQUIRIDA
7385;OTRA DEFORMIDAD ADQUIRIDA DEL DORSO O DE LA COLUMNA VERT
7385;OTRA DEFORMIDAD ADQUIRIDA DEL DORSO O DE LA COLUMNA VERT
7385;OTRA DEFORMIDAD ADQUIRIDA DEL DORSO O DE LA COLUMNA VERT
7386;DEFORMIDAD ADQUIRIDA DE LA PELVIS
7386;DEFORMIDAD ADQUIRIDA DE LA PELVIS
7387;OREJA EN COLIFLOR
7388;DEFORMIDAD ADQUIRIDA DE OTROS SITIOS ESPECIFICADOS
7388;DEFORMIDAD ADQUIRIDA DE OTROS SITIOS ESPECIFICADOS
7388;DEFORMIDAD ADQUIRIDA DE OTROS SITIOS ESPECIFICADOS
7388;DEFORMIDAD ADQUIRIDA DE OTROS SITIOS ESPECIFICADOS
7389;DEFORMIDAD ADQUIRIDA DE SITIO ANATOMICO NO ESPECIFICADO
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7390;LESIONES ANALOPATICAS REGION DE LA CABEZA
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7391;LESIONES ANALOPATICAS REGION CERVICAL
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7392;LESIONES ANALOPATICAS REGION TORACICA
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7393;LESIONES ANALOPATICAS REGION LUMBAR
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7394;LESIONES ANALOPATICAS REGION SACRA
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7395;LESIONES ANALOPATICAS REGION DE LA PELVIS
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7396;LESIONES ANALOPATICAS MIEMBROS INFERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7397;LESIONES ANALOPATICAS MIEMBROS SUPERIORES
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7398;LESIONES ANALOPATICAS PARRILLA COSTAL
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7399;LESIONES ANALOPATICAS ABDOMEN Y OTROS SITIOS
7400;ANENCEFALIA
7401;CRANEORRAQUISQUISIS
7402;INIENCEFALIA
7410;ESPINA BIFIDA CON HIDROCEFALIA
7410;ESPINA BIFIDA CON HIDROCEFALIA
7410;ESPINA BIFIDA CON HIDROCEFALIA
7410;ESPINA BIFIDA CON HIDROCEFALIA
7410;ESPINA BIFIDA CON HIDROCEFALIA
7410;ESPINA BIFIDA CON HIDROCEFALIA
7419;ESPINA BIFIDA SIN MENCION DE HIDROCEFALIA
7419;ESPINA BIFIDA SIN MENCION DE HIDROCEFALIA
7419;ESPINA BIFIDA SIN MENCION DE HIDROCEFALIA
7419;ESPINA BIFIDA SIN MENCION DE HIDROCEFALIA
7419;ESPINA BIFIDA SIN MENCION DE HIDROCEFALIA
7420;ENCEFALOCELE
7420;ENCEFALOCELE
7420;ENCEFALOCELE
7420;ENCEFALOCELE
7420;ENCEFALOCELE
7420;ENCEFALOCELE
7421;MICROCEFALIA
7422;DEFORMIDADES POR REDUCCION DEL ENCEFALO
7422;DEFORMIDADES POR REDUCCION DEL ENCEFALO
7422;DEFORMIDADES POR REDUCCION DEL ENCEFALO
7422;DEFORMIDADES POR REDUCCION DEL ENCEFALO
7423;HIDROCEFALIA CONGENITA
7423;HIDROCEFALIA CONGENITA
7423;HIDROCEFALIA CONGENITA
7423;HIDROCEFALIA CONGENITA
7423;HIDROCEFALIA CONGENITA
7424;OTRAS ANOMALIAS ESPECIFICADAS DEL ENCEFALO
7424;OTRAS ANOMALIAS ESPECIFICADAS DEL ENCEFALO
7424;OTRAS ANOMALIAS ESPECIFICADAS DEL ENCEFALO
7424;OTRAS ANOMALIAS ESPECIFICADAS DEL ENCEFALO
7424;OTRAS ANOMALIAS ESPECIFICADAS DEL ENCEFALO
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7425;OTRAS ANOMALIAS ESPECIFICADAS DE LA MEDULA ESPINAL
7428;OTRAS ANOMALIAS ESPECIFICADAS DEL SISTEMA NERVIOSO
7428;OTRAS ANOMALIAS ESPECIFICADAS DEL SISTEMA NERVIOSO
7428;OTRAS ANOMALIAS ESPECIFICADAS DEL SISTEMA NERVIOSO
7429;ANOMALIAS N.E. DEL ENCEFALO,DE LA MEDULA ESPINAL Y S.N.
7429;ANOMALIAS N.E. DEL ENCEFALO,DE LA MEDULA ESPINAL Y S.N.
7429;ANOMALIAS N.E. DEL ENCEFALO,DE LA MEDULA ESPINAL Y S.N.
7429;ANOMALIAS N.E. DEL ENCEFALO,DE LA MEDULA ESPINAL Y S.N.
7429;ANOMALIAS N.E. DEL ENCEFALO,DE LA MEDULA ESPINAL Y S.N.
7429;ANOMALIAS N.E. DEL ENCEFALO,DE LA MEDULA ESPINAL Y S.N.
7430;ANOFTALMIA
7430;ANOFTALMIA
7430;ANOFTALMIA
7430;ANOFTALMIA
7430;ANOFTALMIA
7431;MICROFTALMIA
7432;BUFTALMIA
7433;CATARATA CONGENITA Y ANOMALIAS DEL CRISTALINO
7433;CATARATA CONGENITA Y ANOMALIAS DEL CRISTALINO
7433;CATARATA CONGENITA Y ANOMALIAS DEL CRISTALINO
7433;CATARATA CONGENITA Y ANOMALIAS DEL CRISTALINO
7433;CATARATA CONGENITA Y ANOMALIAS DEL CRISTALINO
7433;CATARATA CONGENITA Y ANOMALIAS DEL CRISTALINO
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7434;COLOBOMA Y OTRAS ANOMALIAS DE LOS SEGMENTOS ANTERIORES
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7435;ANOMALIAS CONGENITAS DEL SEGMENTO POSTERIOR
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7436;A.G DE LOS PARPADOS, VIAS LAGRIMALES Y ORBITA
7438;OTRAS ANOMALIAS ESPECIFICADAS DEL OJO
7438;OTRAS ANOMALIAS ESPECIFICADAS DEL OJO
7438;OTRAS ANOMALIAS ESPECIFICADAS DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7439;ANOMALIA NO ESPECIFICADA DEL OJO
7440;ANOMALIAS DEL OIDO QUE CAUSAN DETERIORO DE LA AUDICION
7440;ANOMALIAS DEL OIDO QUE CAUSAN DETERIORO DE LA AUDICION
7440;ANOMALIAS DEL OIDO QUE CAUSAN DETERIORO DE LA AUDICION
7440;ANOMALIAS DEL OIDO QUE CAUSAN DETERIORO DE LA AUDICION
7440;ANOMALIAS DEL OIDO QUE CAUSAN DETERIORO DE LA AUDICION
7440;ANOMALIAS DEL OIDO QUE CAUSAN DETERIORO DE LA AUDICION
7441;OREJA SUPERNUMERARIA
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7442;OTRAS ANOMALIAS ESPECIFICADAS DEL OIDO
7443;ANOMALIA NO ESPECIFICADA DEL OIDO
7443;ANOMALIA NO ESPECIFICADA DEL OIDO
7443;ANOMALIA NO ESPECIFICADA DEL OIDO
7444;HENDIDURA, QUISTE O FISTULA BRANQUIALES, FISTULA PREAURIC
7444;HENDIDURA, QUISTE O FISTULA BRANQUIALES, FISTULA PREAURIC
7444;HENDIDURA, QUISTE O FISTULA BRANQUIALES, FISTULA PREAURIC
7445;PTERIGION DEL CUELLO
7448;OTRAS ANOMALIAS ESPECIFICADAS DE LA CARA O DEL CUELLO
7448;OTRAS ANOMALIAS ESPECIFICADAS DE LA CARA O DEL CUELLO
7448;OTRAS ANOMALIAS ESPECIFICADAS DE LA CARA O DEL CUELLO
7448;OTRAS ANOMALIAS ESPECIFICADAS DE LA CARA O DEL CUELLO
7448;OTRAS ANOMALIAS ESPECIFICADAS DE LA CARA O DEL CUELLO
7449;ANOMALIA NO ESPECIFICADA DE LA CARA O DEL CUELLO
7449;ANOMALIA NO ESPECIFICADA DE LA CARA O DEL CUELLO
7450;TRONCO ARTERIOSO
7450;TRONCO ARTERIOSO
7450;TRONCO ARTERIOSO
7451;TRANSPOSICION DE LOS GRANDES VASOS
7451;TRANSPOSICION DE LOS GRANDES VASOS
7451;TRANSPOSICION DE LOS GRANDES VASOS
7451;TRANSPOSICION DE LOS GRANDES VASOS
7452;TETRALOGIA DE FALLOT
7452;TETRALOGIA DE FALLOT
7453;VENTRICULO COMUN
7454;COMUNICACION INTERVENTRICULAR
7454;COMUNICACION INTERVENTRICULAR
7454;COMUNICACION INTERVENTRICULAR
7454;COMUNICACION INTERVENTRICULAR
7455;OSTIUM SECUNDUM, DEFECTO DEL TABIQUE AURICULAR
7456;DEFECTOS DE LAS EMINENCIAS ENDOCARDICAS
7456;DEFECTOS DE LAS EMINENCIAS ENDOCARDICAS
7457;COR BILOCULARE
7458;OTRAS ANOMALIAS DEL BULBO ARTERIOSO Y CIERRE SEPTAL INTRACARD
7459;DEFECTO DE CIERRE SEPTAL, SIN ESPECIFICACION
7460;ANOMALIAS DE LA VALVULA PULMONAR
7460;ANOMALIAS DE LA VALVULA PULMONAR
7460;ANOMALIAS DE LA VALVULA PULMONAR
7460;ANOMALIAS DE LA VALVULA PULMONAR
7461;ATRESIA Y ESTENOSIS TRICUSPIDES CONGENITAS
7462;ANOMALIA DE EBSTEIN
7463;ESTENOSIS CONGENITA DE LA VALVULA AORTICA
7464;INSUFICIENCIA CONGENITA DE LA VALVULA AORTICA
7465;ESTENOSIS MITRAL CONGENITA
7466;INSUFICIENCIA MITRAL CONGENITA
7467;SINDROME DE HIPOPLASIA DEL CORAZON IZQUIERDO
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7468;OTRAS ANOMALIAS CONGENITAS DEL CORAZON
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7469;ANOMALIAS CONGENITAS DEL CORAZON SIN ESPECIFICACION
7470;PERSISTENCIA DEL CONDUCTO ARTERIOSO CONGENITO
7470;PERSISTENCIA DEL CONDUCTO ARTERIOSO CONGENITO
7471;COARTACION DE LA AORTA CONGENITA
7471;COARTACION DE LA AORTA CONGENITA
7472;OTRAS ANOMALIAS CONGENITAS DE LA AORTA
7472;OTRAS ANOMALIAS CONGENITAS DE LA AORTA
7472;OTRAS ANOMALIAS CONGENITAS DE LA AORTA
7472;OTRAS ANOMALIAS CONGENITAS DE LA AORTA
7473;ANOMALIAS CONGENITAS DE LA ARTERIA PULMONAR
7473;ANOMALIAS CONGENITAS DE LA ARTERIA PULMONAR
7473;ANOMALIAS CONGENITAS DE LA ARTERIA PULMONAR
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7474;ANOMALIAS CONGENITAS DE LAS GRANDES VENAS
7475;AUSENCIA O HIPOPLASIA DE ARTERIA UMBILICAL CONGENITA
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7476;OTRAS ANOMALIAS CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7478;OTRAS ANOMALIAS CONGE. ESPECIFICADAS DEL APARATO CIRCULATORIO
7479;ANOMALIA CONGE.NO ESPECIFICADA DEL APARATO CIRCULATORIO
7479;ANOMALIA CONGE.NO ESPECIFICADA DEL APARATO CIRCULATORIO
7480;ATRESIA CONENITA DE LAS COANAS
7481;OTRAS ANOMALIAS CONGENITAS DE LA NARIZ
7481;OTRAS ANOMALIAS CONGENITAS DE LA NARIZ
7481;OTRAS ANOMALIAS CONGENITAS DE LA NARIZ
7481;OTRAS ANOMALIAS CONGENITAS DE LA NARIZ
7481;OTRAS ANOMALIAS CONGENITAS DE LA NARIZ
7482;VELO CONGENITO DE LA LARINGE
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7483;OTRAS ANOMALIAS CONGE. DE LA LARINGE,TRAQUEA Y DE LOS BRONQUI
7484;PULMON QUISTICO CONGENITO
7485;AGENESIA, HIPOPLASIA Y DISPLASIA DEL PULMON CONGENITAS
7485;AGENESIA, HIPOPLASIA Y DISPLASIA DEL PULMON CONGENITAS
7485;AGENESIA, HIPOPLASIA Y DISPLASIA DEL PULMON CONGENITAS
